date,user,location,text
2021-03-17 15:59:25,IndiaTVSports,"Noida, India","Tried to compete in tournaments even with injuries to qualify for Tokyo Olympics: Bhavani Devi

https://t.co/W2hqPz8dJa"
2021-03-17 15:58:57,UFILive,Global,"Yuko is optimistic that events could be running like normal by autumn in Tokyo, with all eyes watching to the Olympics to get a gauge for sponsor and visitors trends. Missed this morning's session of #UFIconnects? Watch it on-demand here: https://t.co/rHLRQ9nyRU @comexposium https://t.co/7NW7Dq9kR2"
2021-03-17 15:57:57,IExpressSports,New Delhi,"Bhavani Devi, who qualified for the Tokyo Olympics through the Adjusted Official Ranking (AOR) Method, said she didn't know how to pick and choose tournaments and so competed in all of them.

https://t.co/M0AMi08AlJ"
2021-03-17 15:56:00,cheddar,"New York, NY","""My arm is ready.""

@USWNT's @mPinoe is looking forward to receiving the Covid-19 vaccine ahead of the 2021 Summer Olympics in Tokyo. https://t.co/r9vmz6nSAr"
2021-03-17 15:53:36,ShePowerSport,,"Last chance to join us on March 18, 2021 at 1300H GMT for a practical discussion with Prof. @margomountjoy, @McMasterU in Toronto, Canada, &amp; @SakuraKokumai, an American karateka bound to represent the US at the @Olympics in Tokyo. Register below:
https://t.co/U4EY26zDSb"
2021-03-17 15:52:38,Zabazanzuu,Snowy Desert,"I watched a tv show from 2012 talking about how Tokyo may be the place the 2020 olympics are held at.
Well, in hindsight, Turkey and Spain dodged a bullet there"
2021-03-17 15:49:33,Outlookindia,"New Delhi, India","Tokyo-Bound Bhavani Devi Says, 'Tried To Compete In Tournaments Even With Injuries To Qualify'  
@IndianOlympians @FIE_fencing #Fencing #tokyo #Olympics @NBCOlympics 
https://t.co/ug9XQV5YED"
2021-03-17 15:48:46,ani_digital,India,"Want to give my best performance in Tokyo Olympics: Bhavani Devi

Read @ANI Story | https://t.co/EfpOh3V902 https://t.co/BGhr2abrLj"
2021-03-17 15:48:28,japanauthor,"Seto Inland Sea, Jpn. England.",Tokyo 2020 creative chief accused of slur against female entertainer. He works for Dentsu. Whatever the truth of the story I always thought that pairing the words Dentsu and creative was an oxymoron. And in this instance pun intended.  https://t.co/ekr0zcs7uG
2021-03-17 15:40:06,erica_baffelli,"Manchester, England","The discussion about countdowns reminded me of this image from the 1988 anime Akira (set in 2019) showing a countdown to the Tokyo Olympics with a graffiti saying ""just cancel it""  #MLot21  2/2 https://t.co/L69Yckfp4h"
2021-03-17 15:39:16,Manmeet79410931,,@kannandelhi @Neeraj_chopra1 @afiindia Neeraj Chopra will certainly make a mark in Tokyo Olympics!
2021-03-17 15:35:51,kazwow,ねりまく,"It is extremely hard to find one that is not sexiest in stakeholders of the Tokyo Olympics. world, this is what we are."
2021-03-17 15:25:38,tetech1111,,Call off The Tokyo Olympics for Japan's safety and preventing the spread of COVID-19.
2021-03-17 15:20:41,susaneymann,Lethbridge Alberta,@KellycFitz Way to go. Cheering from #Lethbridge #Alberta https://t.co/wIJfdOq7oE
2021-03-17 15:18:11,TheTofuBowl,"Scotland, United Kingdom","@Abishop32 Surely that’s only technically, like will it not still be the Tokyo 2020 Olympics?"
2021-03-17 15:13:42,ClintEa92922128,,"Did you know that, at the youthful age of 63, famous actor Clint Eastwood took home three gold medals in the 1964 Tokyo Summer Olympics? Wild!!!"
2021-03-17 15:11:06,SponsorCircle,,Pressure on brands rising over Tokyo Olympic Games https://t.co/rJuijLzC7X @Olympics @Tokyo2020 #Tokyo2021 #sponsorship #athletics https://t.co/KgjwjOljQO
2021-03-17 14:57:33,345triangle,tokyo,@powderbum75 that was my biggest fear before the london olympics and honestly kind of still is with tokyo
2021-03-17 14:52:38,1959Somosomo,Spaceship Earth Japan,"@Suzwarto ""Naomi Watanabe to Pig-Olympig""🐽 Tokyo Olympics opening ceremony ""Person in charge"" is discriminatory production plan

Beyonce of Japan: NAOMI WATANABE／渡辺直美 - MILLENNIALS FILE https://t.co/UhoLZreN0A via @YouTube"
2021-03-17 14:48:47,CubaDugout,"Ottawa, Ontario","@patriaorgullosa @mroctober I touch on that in my most recent article
https://t.co/Q530Kzydsx"
2021-03-17 14:47:43,AyonewsSimona,Malta,"#Camelot, the operator of the #UK’s National Lottery, has announced its support for the Team GB #Olympic and #ParalympicsGB teams ahead of the 2020 Tokyo Olympics. 

https://t.co/1rZ7TgDwx1"
2021-03-17 14:43:39,oubaitouriHIRO,奈良県,"【Tokyo Olympics Opening Ceremony Chief Insult Women】
Sasaki general chief at the opening ceremony of the Tokyo Olympics despises female entertainers as pigs.  https://t.co/5QNJCC1Hlu"
2021-03-17 14:42:15,Shuvo10976159,"Dhaka, Bangladesh","Those, who thought  Kidambi Srikanth is medal prospect at Tokyo Olympics is completely wrong. He lacks consistency and even very less chance to qualify for Tokyo Olympics. #Badminton"
2021-03-17 14:39:51,KhelNow,India,"The 21-year old long jumper from Kerala broke the national record at the 24th National Federation Cup Senior Athletics Championships 2021 and also secured his berth for the Tokyo Olympics.

Read Details.

#AFI #Athletics #TokyoOlympics  #Olympics 

https://t.co/FXBnJYStqo"
2021-03-17 14:33:19,RPDos918,"Quezon City, Metro Manila","TABLE TENNIS | Jann Mari Nayre, Rose Jean Fadol, and two other Filipino table netters will have another chance of qualifying to the Tokyo Olympics. 

More: https://t.co/ONrbUY8N9K https://t.co/0GWM4DsLgE"
2021-03-17 14:32:33,Chathamnews,"Chatham, Ontario, Canada","Ayim to retire after Tokyo Olympics #ckont 
https://t.co/cO9JZ4XHUf"
2021-03-17 14:32:11,usportsnow,,US Basketball Announces Pool Of Players For Tokyo Olympic. #usbasketball #unitedstates #players #tokyoolympics https://t.co/xi9ARMCg5G https://t.co/ajRZQK4yGf
2021-03-17 14:31:24,ChrisEgan5,Seattle/Puyallup,Meet Sam Tanner from @UWTrack @uw !!! He’s the collegiate record holder in the 1500 and he loves to #surf #snowboard and #skateboard too. https://t.co/PBXwoKAjyl
2021-03-17 14:30:00,TeamIreland,"Howth, Co. Dublin, Ireland","""Like the rest of us, Hugh Russell will be watching. When the Tokyo Olympics ignite later this year, the Belfast man will be looking on. But unlike the rest of us, Russell knows exactly how they feel.""

🇮🇪 1980 Olympic🥉 #TeamIreland #FightingIrish 🥊☘️

https://t.co/wtPoCFKnrM"
2021-03-17 14:26:24,sansunson3,,"Naomi Watanabe to be a pig, an ""Olympig"": Tokyo Olympics opening ceremony 'chief' plans discriminatory staging

#Olympics 
#TOKYO2020"
2021-03-17 14:24:45,Tweets_by_Sayan,kolkata,Abinash Sable with his today's timing would easily qualify for the finals of steeplechase of 2016 olympics and would finish 7th 👏👏 hopefully he will qualify for the finals in tokyo atleast. Medal is too far fetched as of now
2021-03-17 14:23:33,UshioSato0815,Tokyo,Tokyo 2020 creative chief accused of slur against female entertainer | The Japan Times https://t.co/gLrhEqa3Tb
