date,user,location,text
2021-03-17 16:00:29,BlueSky_Sports,"Boston, MA","Listen to #blueskyexclusiveclient Noelle Lambert talk with #uponfurtherreview about her Life-Changing Accident, Starting @TheBornToRunFo1, and Training for the 2021 Paralympics in Tokyo #paralympics #Tokyo2021 #olympicathlete #blueskysports https://t.co/7nAYVj9Ttr https://t.co/sAFSYaFk2A"
2021-03-17 15:11:06,SponsorCircle,,Pressure on brands rising over Tokyo Olympic Games https://t.co/rJuijLzC7X @Olympics @Tokyo2020 #Tokyo2021 #sponsorship #athletics https://t.co/KgjwjOljQO
2021-03-17 14:23:26,sportshubcoach,"Worcester, England",Cracking session last night with @dgoodfield1 really enjoyed him sharing his journey from Shropshire to current GB international. Good luck Dave fingers crossed for Tokyo #tokyo2021 #minesafloatwhite  #coach #sports #offpitchlearning
2021-03-17 14:08:15,GoldencatCao2,西果ての地,"“Olympig” That’s wasn’t not good joke.
Naomi Watanabe is cute plus-size comedienne.
Sasaki is real pig of sexist😤 
He’s works are out of time.
#tokyo2021 https://t.co/W9xDfFyPlD"
2021-03-17 10:16:46,lakshyasportsin,"Pune, India","Shreeshankar qualifies for Olympics!
Congratulations Murali Shreeshankar for qualifying for the Tokyo Olympics 2021. He took a national record jump of 8.26m at the Federation Cup. Well done champ!
#LakshyaSports #Lakshya  #MuraliShreeshankar #Olympics #Tokyo2021 #LongJump https://t.co/WDlllgaLfp"
2021-03-17 09:32:47,mmmmasayan,"Kawasaki, Japan","SO Insane; a director for #TOKYO2021 #Olympic opening ceremony planned a talent, @watanabe_naomi, to be a pig with a phrase ""Olympig"".  Japan is not qualified to hold an international sport event and I'm sick of hearing these crazy remarks from men.
https://t.co/S7ZDItWXoM"
2021-03-16 22:27:53,angelcitysports,Southern California,"The Tokyo 2021 Paralympic Games will have a record number of female competitors!

https://t.co/GijQ7UGMDW

#WomensHistoryMonth #Inclusion #Paralympics #Tokyo2021"
2021-03-16 19:26:43,funkrafstik,,Latest addition to my #etsy shop: Tokyo Shirt Tokyo 2021 https://t.co/V1lepq4nr8 #tokyo #tokyogames #summergames #tokyojapan #tokyo2021 https://t.co/DDWIxy9ELa
2021-03-16 18:41:05,vishalpathaniy1,India,"Our very own wrestler @Poghat_Vinesh is in unbelievable form. Last week Gold medal in Kyiv and this week Gold medal in Rom. 
Can't wait for #Tokyo2021 https://t.co/Mbih3RnkU7"
2021-03-16 18:19:44,CafeWelkom,Noorderwijk ,"#dekogelvanherentals

Tokyo here he comes!!

📸 by @kramon_velophoto 
#thebulletfromherentals #tokyo2021 #tirrenoadriatico @jumbovisma_road https://t.co/LV7I6yEnKL"
2021-03-16 18:14:21,DrGauravGarg4,New Delhi,"Our very own wrestler @Phogat_Vinesh is in unbelievable form. 
Last week Gold Medal in Kyiv and this week Gold Medal in Rome. 

Can't wait for #Tokyo2021"
2021-03-16 17:11:19,afrikophone,"New York, USA",Is there any truth to the rumour that break dancing (an art form created by black youth in the Bronx) will be a sport at #Tokyo2021 #TokyoOlympics @Olympics? I wonder who will win the first gold? My prediction is China 🇨🇳.
2021-03-16 16:00:09,Polaris_Pools,"Vista, CA","Sometimes all you need is a backyard pool to make a dream come true...(Whether that dream is to swim in the #Olympics or simply to have a place to relax and unwind...)
https://t.co/8PTBqpgdN4 #Swimming #Tokyo2021 #SummerOlympics #OlympicSwimming"
2021-03-16 14:36:59,elfildeo,Santo Domingo,Play ball https://t.co/VQkQbVAc9v #tokyo #tokyo2021
2021-03-16 14:36:31,pickselfildeo,Miami ,Play ball https://t.co/QRVnU23JBK #tokyo #tokyo2021
2021-03-16 12:51:35,totsumusume,Translation by DeepL,"Of the 240 countries and territories participating in the Olympic Games, Japan is the only country that ""continues to hold face-to-face classes in schools without a break.""

#covid19
#Olympics
#Tokyo2020
#TokyoOlympics
#Tokyo2021
#E484K
#Japanvariant✳️"
