date,user,location,text
2021-03-17 16:18:10,mandookecc,,@JamaalBowmanNY @DemSocialists You ever heard of the term misogyny? There's been multiple attacks against women by strangers just because they happen to be women. It's rather concerning that people play oppression olympics rather than focus on understanding the motive and what means for future policies
2021-03-17 16:18:08,IndexWarnock,"England, United Kingdom",The blades advance to round 7 of the special olympics https://t.co/YWyx3EIZZB
2021-03-17 16:18:06,mikeysmith,"London, England","I wish people wouldn’t do this, it *always* looks shit.

Sheffield turned all of its fountains “gold” to celebrate the Olympics and it just looked like foaming asparagus piss. https://t.co/O3NLTN7l9j"
2021-03-17 16:18:05,LPHS_Activities,LaSalle-Peru High School,Special Olympics took the floor yesterday afternoon.  They had a great time practicing together!  @lphscavs_so #WeAreLP #SpecialOlympics https://t.co/zWyiS2VDpk
2021-03-17 16:17:50,DesireeAlliance,USA,Olympics already allow trans to compete #HRC
2021-03-17 16:17:39,BKinDetroit,"Detroit, MI","@JoyceWhiteVance @AhmedBaba_ Well said.  Leave the investigation to the professionals. 
Remember the Atlanta Olympics bomber?  Jumping to conclusions is dangerous.  That dude's life is still ruined.
Or Oklahoma City building when so many shut up so quickly when it was revealed to be a white guy?"
2021-03-17 16:17:04,rickbrownell,"Anywhere, USA",#thisdayinhistory 1969 - Golda Meir becomes first female prime minister of #Israel. Guides country through 1972 Olympics murders &amp; 1973 war. Not bad for a girl from Wisconsin. #history #WomensHistoryMonth #ColdWar #MiddleEast https://t.co/GaukHvUl34
2021-03-17 16:16:54,Ajay661095,"Oviedo, FL","@ManagerTactical I’d like to see Dike in the Olympics, I doubt Barnsley would release him though. Although the loan is short term so he might be back at Orlando in time"
2021-03-17 16:16:45,Dalesrider1,"Yorkshire and The Humber, England","@who2stu @AnimeNera It's like an event at the Bellend Olympics. Though tbf I've seen a few bikers come unstuck showing off, especially at the TT. Also, I did once thrash a car til the bottom end went and had to get a new short engine 😬😬😬"
2021-03-17 16:16:40,Trace_Urdan,San Francisco,"You guys, in the 1970’s they made TV stars compete in real sports from the Olympics. It was 🔥https://t.co/cVZMkGjD4O"
2021-03-17 16:16:12,TheWokeReport,Woke HQ. Jakarta,"FUN FACT: There's an ice cream spot called, ""Atlanta Ice Cream"" in the Middle East (Bahrain) that serves ice cream at 2AM. The logo features ""Izzy"", the mascot from Atlanta's 1996 Summer Olympics. 🔥🍦 https://t.co/bdYASWRgPE https://t.co/OTDbkmDuND"
2021-03-17 16:16:02,FuckKwame,,"@CheeseKaiser @SweetieWalker @HRC 1) Why?
2) Female and male sports are already segregated plus there’s the Special Olympics
3) and?"
2021-03-17 16:16:01,cricklie_mag,los angeles,"Now that we know a religious zealot thinks about Olympics over three decades ago, can we get back to the law, updated equal rights, and freedom of religion (latter is part of USConstitution; it not 1 religion determines the law, i.e.”separation of church &amp; state” #congress #GOP"
2021-03-17 16:15:36,Olympics,"Lausanne, Switzerland","The World Singles Qualification Tournament in Doha is all over. Find out which nine players have secured spots @Tokyo2020 table tennis 🏓 tournament. 
 
@ittfworld 

Full story ⬇️

https://t.co/Yxp1N18uy6"
2021-03-17 16:15:35,KpopWithV,United States,"I guarantee you Black people will be more sympathetic &amp; proactive in sharing information, resources &amp; support for #StopAsianHate if y'all refrain from condemning &amp; comparing the justified amplification of Black Lives Matter. This is not an oppression Olympics."
2021-03-17 16:15:11,NIRSAlive,"Corvallis, OR","NIRSA is looking for two supervisors of student officials—one for basketball and one for flag football—for the Special Olympics USA Games taking place June 2022 in Orlando, Florida. Apply by April 12! https://t.co/NyobIAuAYy https://t.co/rzkY8604DV"
2021-03-17 16:15:07,SUNIMULLEN,"California, USA","Whenever the oppression Olympics flare up, Black people and those who experience Blackness are always brought up in tandem, parallel, and peripheral to the event. We know why. Stop."
2021-03-17 16:15:03,insidethegames,,"In today's blog @dodo938 analyses the delicate situation the #IOC is facing in relation to @Beijing2022 and explains why he believes the IOC is backed into a corner on the issue
https://t.co/EU4X7QhKp7 #Beijing2022 #Olympics @iocmedia"
2021-03-17 16:15:02,blkpwrpanalo,defected.,rest in power to those women. i can’t be online today. y’all can participate in the oppression olympics on your own. hope you know none of that discourse is going to stop what killed them and what continues to kill us all.
2021-03-17 16:14:59,LinniewaGC,"Stockholm, Sweden",@LDommie 💕it was morons Olympics as always.
2021-03-17 16:14:35,PoliticsPolly1,,"Chinese Media Attack Cruz, Romney Despite Opposing Olympics Boycott https://t.co/RB5tYcAWiZ via @BreitbartNews"
2021-03-17 16:14:31,Trish_Tyson,"Alberta, Canada","CBC Sports Oral Histories:The skating scandal that rocked the 2002 Salt Lake City Olympics-When ⁦⁦@JamieSale⁩ talks w/ Special Olympics athletes about knowing how they feel it shows that she does, she walks the talk. She handled things with grace  https://t.co/mUhVGePBLe"
2021-03-17 16:14:18,Official_MissSA,South Africa,"The partnership between Special Olympics South Africa and the Shudufhadzo Foundation, kicked off with the training of the first cohort of 50 Special Olympics Young athletes programme practitioners at Fulufhelo Special School in Thohoyandou. #ShudufhadzomusidaFoundation #missSA https://t.co/lW0nWIFAoi"
2021-03-17 16:14:10,Forza_Asia,Asia,"@TheTofuBowl @Abishop32 It also doesn’t matter, as long as they meet the requirement of being 23 or under on whatever date is stipulated in the rules, plus it’s 23 last year not this year, as it’s the 2020 Olympics officially"
2021-03-17 16:14:02,FakeNewsGen1,,Latest news from our live coverage of Olympics confirms cheating scandal. More updates to follow.
2021-03-17 16:13:57,MissPennyOCSB,,Chapel Hill was blessed with a perfect weather day for our Winter Olympics! Luck of the Irish☘️☘️☘️gorgeous day to participate in a full school activity day🥇🥈🥉thanks to all our organizers❤️@OttCatholicSB @OttCatholicSB https://t.co/TqTvjbQx2B
2021-03-17 16:13:42,DisneyNews20,surat,Tried to compete in tournaments even with injuries to qualify for Tokyo Olympics: Bhavani Devi https://t.co/q04A40Hzy3
2021-03-17 16:13:13,serenaslam24,✰he/him✰,@Vee16Queen Which US players aren’t eligible for the Olympics because of BJKC
2021-03-17 16:13:05,kittenmittens34,,@BelugaJam @ArmisteadJosie @LindseyGrahamSC I didn’t say we never have. The US has plenty of problems. So fuck the Uyghurs and celebrate the Olympics while people are held against their will at gun point in internment camps
2021-03-17 16:12:34,mat_schmaltz,Canada,"@Andrew12188132 @erinotoole The Liberals better have a budget soon. We can agree on that.
What I am critiquing is the misleading framing from the CPC. It's been two years total, but the government only missed one budget. Just like the Olympics was delayed only 1 year, not 5."
2021-03-17 16:12:31,SharinaWrites,"Atlanta, GA",@kaiawrites The mental Olympics to get here is astounding. Not to mention America's f'ed up history of sexualizing Asian women which is hmmmmm racist.
2021-03-17 16:12:25,gowonderlands,CARRD BYF !!!,International Olympic Committee: End gender discrimination in the Olympics. Let Women Decathlon. - Sign the petition! https://t.co/otYBirVJbc
2021-03-17 16:12:17,IntruokYT,"Atlanta, Georgia","Please don't turn the shooting of these people into a struggle olympics. We gotta stand behind victims of hate crimes and discrimination, and support them. I aint gonna add no hashtag cause that's corny asf but stop the asian american and pacific islander hate man"
2021-03-17 16:12:13,JoshuaABull,"Oxford, England","The case for yes: if you think about the probability that the winner came from a given country then you'd conclude that scaling by population size is good. 

But does this really describe the Olympics?"
2021-03-17 16:12:12,JoshuaABull,"Oxford, England","We start with the Olympics: should we expect the number of gold medals won by a country to be proportional to the relative size of its population? 

Gold medals measure extreme events (the fastest/strongest/best), which suggests we can use similar maths to the mountain question. https://t.co/GfQD2cowD1"
2021-03-17 16:12:11,tinydiorr,"Chicago, IL","@BabyBabs022 @Nellyvision_ @JuJuBreauxD @hiddentrezure @SlayXay @itsyagurl_yaya @K33kss @BLKACRUX yall acting slow asfuck. call my ass skinny, imma call yo ass fat idgaf, about no damn history of the fat oppressed olympics. im not finna tippy toe what to say around no bigger person n i just supposed to stfu cos yall tb society when thick girl/normal weight been the blueprint"
2021-03-17 16:11:57,ImMrRager,"Arlington, TX","If overthinking was a sport, I’d be on the olympics team."
2021-03-17 16:11:55,theghostofafi,*,comparing racism toward asians and racism toward Black people actually feels like some kind of weird trauma olympics that is both unhelpful and unproductive and we should stop doing that
